"id","associated_table_id:id","code","description","reference"
"catalog_sunat_7_24","7","24","Certificado de pago de regalías emitidas por PERUPETRO S.A",
"catalog_sunat_7_25","7","25","Documento de Atribución (Ley del Impuesto General a las Ventas e Impuesto Selectivo al Consumo, Art. 19º, último párrafo, R.S. N° 022-98-SUNAT).",
"catalog_sunat_7_26","7","26","Recibo por el Pago de la Tarifa por Uso de Agua Superficial con fines agrarios y por el pago de la Cuota para la ejecución de una determinada obra o actividad acordada por la Asamblea General de la Comisión de Regantes o Resolución expedida por el Jefe de la Unidad de Aguas y de Riego (Decreto Supremo N° 003-90-AG, Arts. 28 y 48)",
"catalog_sunat_7_27","7","27","Seguro Complementario de Trabajo de Riesgo",
"catalog_sunat_7_28","7","28","Documentos emitidos por los servicios aeroportuarios prestados a favor de los pasajeros, mediante mecanismo de etiquetas autoadhesivas.  ",
"catalog_sunat_7_29","7","29","Documentos emitidos por la COFOPRI en calidad de oferta de venta de terrenos, los correspondientes a las subastas públicas y a la retribución de los servicios que presta",
"catalog_sunat_7_30","7","30","Documentos emitidos por las empresas que desempeñan el rol adquirente en los sistemas de pago mediante tarjetas de crédito y débito, emitidas por bancos e instituciones financieras o crediticias, domiciliados o no en el país.",
"catalog_sunat_7_31","7","31","Guía de Remisión - Transportista",
"catalog_sunat_7_32","7","32","Documentos emitidos por las empresas recaudadoras de la denominada Garantía de Red Principal a la que hace referencia el numeral 7.6 del artículo 7° de la Ley N° 27133 – Ley de Promoción del Desarrollo de la Industria del Gas Natural",
"catalog_sunat_7_33","7","33","Manifiesto de Pasajeros",
"catalog_sunat_7_34","7","34","Documento del Operador",
